name,district,type
Козятинська територіальна громада,Хмільницький,міська
Козівська територіальна громада,Стрийський,сільська
Козівська територіальна громада,Тернопільський,селищна
Колиндянська територіальна громада,Чортківський,сільська
Колківська територіальна громада,Луцький,селищна
Колодяжненська територіальна громада,Ковельський,сільська
Коломацька територіальна громада,Полтавський,сільська
Коломацька територіальна громада,Богодухівський,селищна
Коломийська територіальна громада,Коломийський,міська
Коломийчиська територіальна громада,Сватівський,сільська
Колочавська територіальна громада,Хустський,сільська
Кольчинська територіальна громада,Мукачівський,селищна
Комарнівська територіальна громада,Львівський,міська
Комарська територіальна громада,Волноваський,сільська
Комарівська територіальна громада,Ніжинський,сільська
Комиш-Зорянська територіальна громада,Пологівський,селищна
Комишанська територіальна громада,Охтирський,сільська
Комишнянська територіальна громада,Миргородський,селищна
Комишуваська територіальна громада,Запорізький,селищна
Компаніївська територіальна громада,Кропивницький,селищна
Коноплянська територіальна громада,Березівський,сільська
Конотопська територіальна громада,Конотопський,міська
Конятинська територіальна громада,Вижницький,сільська
Копайгородська територіальна громада,Жмеринський,селищна
Копачівська територіальна громада,Луцький,сільська
Копичинецька територіальна громада,Чортківський,міська
Корецька територіальна громада,Рівненський,міська
Корнинська територіальна громада,Житомирський,селищна
Корнинська територіальна громада,Рівненський,сільська
Коровинська територіальна громада,Роменський,сільська
Королівська територіальна громада,Берегівський,селищна
Коропецька територіальна громада,Чортківський,селищна
Коропська територіальна громада,Новгород-Сіверський,селищна
Коростенська територіальна громада,Коростенський,міська
Коростишівська територіальна громада,Житомирський,міська
Корсунь-Шевченківська територіальна громада,Черкаський,міська
Коршівська територіальна громада,Коломийський,сільська
Корюківська територіальна громада,Корюківський,міська
Космацька територіальна громада,Косівський,сільська
Косоньська територіальна громада,Берегівський,сільська
Костопільська територіальна громада,Рівненський,міська
Кострижівська територіальна громада,Чернівецький,селищна
Костринська територіальна громада,Ужгородський,сільська
Костянтинівська територіальна громада,Краматорський,міська
Костянтинівська територіальна громада,Мелітопольський,сільська
Костянтинівська територіальна громада,Миколаївський,сільська
Костянтинівська територіальна громада,Каховський,сільська
Косівська територіальна громада,Косівський,міська
Котелевська територіальна громада,Полтавський,селищна
